   Compiling day_15 v0.1.0 (/home/hardsnow/aoc_2020/day_15)
    Finished dev [unoptimized + debuginfo] target(s) in 0.49s
     Running `/home/hardsnow/aoc_2020/day_15/target/debug/day_15`
2020, 1294
Time elapsed in part 1: 3.622259ms
1, 1
2, 0
3, 16
4, 5
5, 17
6, 4
7, 0
8, 5
9, 4
10, 3
11, 0
12, 4
13, 3
14, 3
15, 1
16, 14
17, 0
18, 6
19, 0
20, 2
21, 0
22, 2
23, 2
24, 1
25, 9
26, 0
27, 5
28, 19
29, 0
30, 3
31, 16
32, 28
33, 0
34, 4
35, 22
36, 0
37, 3
38, 7
39, 0
40, 3
41, 3
42, 1
43, 18
44, 0
45, 5
46, 18
47, 3
48, 6
49, 30
50, 0
51, 6
52, 3
53, 5
54, 8
55, 0
56, 5
57, 3
58, 5
59, 2
60, 36
61, 0
62, 6
63, 11
64, 0
65, 3
66, 8
67, 12
68, 0
69, 4
70, 35
71, 0
72, 3
73, 7
74, 35
75, 4
76, 6
77, 14
78, 61
79, 0
80, 8
81, 14
82, 4
83, 7
84, 10
85, 0
86, 6
87, 10
88, 3
89, 16
90, 58
91, 0
92, 6
93, 6
94, 1
95, 52
96, 0
97, 5
98, 39
99, 0
100, 3
101, 12
102, 34
103, 0
104, 4
105, 22
106, 70
107, 0
108, 4
109, 4
110, 1
111, 16
112, 22
113, 7
114, 30
115, 65
116, 0
117, 9
118, 92
119, 0
120, 3
121, 20
122, 0
123, 3
124, 3
125, 1
126, 15
127, 0
128, 5
129, 31
130, 0
131, 3
132, 7
133, 19
134, 105
135, 0
136, 5
137, 8
138, 57
139, 0
140, 4
141, 31
142, 12
143, 41
144, 0
145, 5
146, 9
147, 29
148, 0
149, 4
150, 9
151, 4
152, 2
153, 93
154, 0
155, 6
156, 62
157, 0
158, 3
159, 27
160, 0
161, 3
162, 3
163, 1
164, 38
165, 0
166, 5
167, 21
168, 0
169, 3
170, 7
171, 38
172, 7
173, 2
174, 21
175, 7
176, 3
177, 7
178, 2
179, 5
180, 13
181, 0
182, 13
183, 2
